Customer ID,Loan Sanction Amount (USD)
C-26247,88570.82235126858
C-35067,65883.2771362405
C-34590,4913.921133415679
C-16668,46903.84951934533
C-12196,65467.695182649135
C-2600,0.0
C-9047,89333.66866319241
C-2206,75763.82278455586
C-25607,1435.80790062483
C-11606,15497.675749078717
C-3624,75624.71183554344
C-43027,4666.490978668324
C-15190,109281.10349450255
C-25816,15900.24734299579
C-26370,43577.97120795702
C-1281,218702.86711892224
C-29433,7820.325054040499
C-36256,55853.014139660285
C-34217,38862.15931375061
C-39950,60862.80578652385
C-6756,23438.221545882945
C-26652,52748.75413760384
C-3991,69204.50722246293
C-40312,39227.230310139144
C-24580,157965.16528718942
C-4949,4928.3209214539675
C-18783,78164.23101828524
C-39205,66980.89999165964
C-23784,907.0349218393676
C-39508,105340.81528501661
C-19062,111007.56116990198
C-48140,44416.15435260457
C-11314,62015.120461399405
C-766,64886.59894675184
C-39319,10572.176466106026
C-15299,51935.94424303112
C-10298,34741.23352800857
C-25573,52277.2229060309
C-18750,21988.633577455937
C-19298,35874.4190646898
C-11497,62373.35232209708
C-42250,22581.55472846641
C-17501,49847.66184885876
C-24290,54006.60157674209
C-8590,103396.62885614144
C-8038,73048.92742318378
C-25261,868.2602014495496
C-32634,12875.05087929331
C-15073,48913.932506571924
C-44174,20408.13957135043
C-31916,71585.71853847784
C-30620,22221.153671186978
C-12561,3819.746008495502
C-40301,104441.20511195582
C-14716,19769.691909403962
C-27558,35168.73681099484
C-32563,41382.1539635634
C-31387,21498.068924807398
C-45649,3844.7175106021386
C-22572,27799.50917376984
C-48427,67097.38457327228
C-24904,73020.62851739113
C-27683,15858.202239058384
C-43495,64951.80648500755
C-25735,27152.756776085705
C-21375,74295.84688206109
C-41309,73699.77948950237
C-7767,26638.97937951856
C-11841,516.3055241176771
C-5763,84298.24511486417
C-8389,39975.2982643692
C-16692,41301.928653623996
C-33430,107341.75908628211
C-2953,220071.68204134863
C-11912,23865.127114170267
C-6072,68001.89268498635
C-6321,29831.21912855886
C-26772,61851.53158427372
C-24747,50357.01292152136
C-20883,170721.35396914903
C-11751,56008.274427315686
C-24776,68000.01802841449
C-20642,22583.723045661776
C-9613,0.0
C-45334,2919.5762643305497
C-37941,65692.3607706303
C-2908,39721.96976026751
C-13784,16366.510202975096
C-26710,57013.118124584056
