Customer ID,Loan Sanction Amount (USD)
C-26247,88988.577907552
C-35067,66108.65317161495
C-34590,4654.012640675416
C-16668,46648.47321706581
C-12196,64833.07544277151
C-2600,0.0
C-9047,89500.79336659108
C-2206,75728.20134419376
C-25607,1291.759324078296
C-11606,15588.110893795189
C-3624,75825.92767578278
C-43027,4282.239536016274
C-15190,109852.67161140213
C-25816,16105.97926666066
C-26370,43398.411306874616
C-1281,221042.22028926612
C-29433,7496.651082158231
C-36256,55955.4438169933
C-34217,39107.025048040414
C-39950,60946.746154631095
C-6756,23691.613424840853
C-26652,52380.95684758245
C-3991,68939.55948517198
C-40312,39225.76612200735
C-24580,161547.65187907877
C-4949,5114.563929576752
C-18783,78222.66095108064
C-39205,66825.7937705443
C-23784,147.45294324477823
C-39508,105202.8426533306
C-19062,109679.19761650634
C-48140,44873.387480769896
C-11314,61921.38259028732
C-766,64929.175738578175
C-39319,10253.447068196883
C-15299,51756.63093523605
C-10298,35002.55749086648
C-25573,52475.20096327461
C-18750,22133.544017834367
C-19298,35852.41054915812
C-11497,62364.52192314866
C-42250,22617.492617906304
C-17501,49975.41755483642
C-24290,54161.66628095954
C-8590,104980.34457407695
C-8038,74103.03486688565
C-25261,733.145836277691
C-32634,12851.422360714729
C-15073,49081.758511999535
C-44174,20593.906475583823
C-31916,71407.71398906827
C-30620,22402.502733338544
C-12561,3753.055198742282
C-40301,103388.34382499669
C-14716,19975.433647963637
C-27558,35130.39721896443
C-32563,41085.68873429884
C-31387,21614.89598847795
C-45649,6261.67240742203
C-22572,27744.965581001314
C-48427,66926.7696353016
C-24904,73634.54161648497
C-27683,16043.952184111859
C-43495,64324.447023849454
C-25735,27265.368338155993
C-21375,76065.62281371161
C-41309,73843.13762359289
C-7767,26938.142439452175
C-11841,520.3270718631193
C-5763,84134.0329444228
C-8389,40046.26695648615
C-16692,41233.53505534817
C-33430,109002.30271148703
C-2953,221977.68106907583
C-11912,23999.462161478892
C-6072,67921.90452143265
C-6321,31113.206278068494
C-26772,63855.316842541
C-24747,50106.36905935752
C-20883,168481.26898456397
C-11751,57220.78468568368
C-24776,75057.29809481552
C-20642,22771.698892903874
C-9613,0.0
C-45334,4069.987841313082
C-37941,65502.174789363526
C-2908,39973.72477385146
C-13784,16633.10730366266
C-26710,56959.470505975434
C-1892,60316.72501111068
C-49928,106351.87476268495
C-23082,87860.10517692582
C-27939,47596.87355130398
C-41801,0.0
C-19700,9803.064121846077
C-43113,38474.8979697025
C-27336,80747.69180190754
C-36772,39646.2142520887
C-3197,11768.363331980154
C-14674,83344.82508283723
C-5092,20655.933558132623
C-41664,6224.822993296356
C-85,32545.03817902156
C-48382,44222.424527699535
C-35744,79288.31443449273
C-32776,1443.7001118008961
C-49131,7029.66414490621
C-29703,18569.686714886215
C-14880,36617.832975387646
C-36170,0.0
C-41645,1327.0289779837647
C-4784,39141.19065820351
C-38418,68516.07796419298
C-13222,69790.7110991386
C-32852,23105.72677628004
C-21795,27444.372854381763
C-121,37755.05933656517
C-39952,34242.40839946501
C-45166,0.0
C-32641,55804.57671339209
C-27678,16627.162859090735
C-10704,0.0
C-33461,22627.928917572845
C-22001,92342.0055599889
C-30170,60884.719072082284
C-23960,60930.12723855115
C-16139,20187.406605656273
C-27022,12714.448298978386
C-19074,23691.613424840853
C-49284,800.7655950271345
C-8598,46478.23020528421
C-14962,29117.24139920719
C-35254,1707.530100236683
C-30635,2776.854177837379
C-6981,15461.19203490868
C-5924,33149.79528728942
C-9590,39123.701280820926
C-23842,62796.97970154155
C-45972,8764.911924419603
C-39623,72117.76581389547
C-49153,1769.4378749221153
C-34958,71619.38791564577
C-36476,63097.31707335668
C-28630,1564.4272606960337
C-12012,68525.44898530505
C-37986,72703.98582785812
C-11513,60765.93497324883
C-48999,71822.94244757234
C-7194,55290.48017434248
C-14162,60591.593673449104
C-6137,12985.204705604227
C-7348,1202.6923596568802
C-25756,1155.192773624041
C-40915,91094.05518797878
C-28646,25089.091681663438
C-31130,44588.65534690353
C-8532,14851.03671130518
C-24097,31384.12766488532
C-1855,23401.06121466085
C-35375,38923.511537301514
C-3997,155495.94501770896
C-42188,48069.215793200696
C-33694,10138.955325056862
C-1613,30064.10587902529
C-9405,75720.0621734232
C-5964,30377.546140571743
C-20231,30607.686447853263
C-23969,14165.028646357094
C-36011,6619.1660694752345
C-23079,124196.84888030647
C-44925,5501.224111708377
C-9000,92124.20798576505
C-49513,2385.6831014846066
C-49824,5147.371940638386
C-17542,97602.23803430966
C-39446,44066.83067792661
C-24862,27382.4756327964
C-30025,38760.998134567766
C-20039,24360.466333067343
C-34113,92372.82143548063
C-19871,54768.091456691414
C-7017,24541.90371557906
C-16017,88429.83293902235
C-1475,72194.71192486324
C-35040,61953.833190533536
C-37318,17691.324448026095
C-4757,70808.942096822
C-26696,45527.885329495875
C-2450,116507.16315083549
C-38702,46127.606142349636
C-31969,44229.53672627038
C-34069,21880.871354955863
C-23160,28858.654384100028
C-30804,260.59644304882045
C-49195,57679.85255384744
C-13029,51130.72655146265
C-39590,1469.5527382149542
C-45950,2414.36101308831
C-1907,151497.19044438514
C-9729,30384.402055315422
C-24353,44449.23925627615
C-3768,105964.77025271233
C-48652,230907.0152435258
C-14858,11468.404123510321
C-32326,24956.059311449604
C-35385,0.0
C-45900,66091.61806256065
C-5823,39655.32709943404
C-29879,46238.74559471639
C-2015,44749.533870241175
C-19823,56660.01419079658
C-19528,60932.49141480808
C-40682,78522.40427334918
C-49354,9362.969230095709
C-25744,106947.02164440634
C-14328,60140.399852019196
C-2727,58373.48731798807
C-45497,20024.270244705334
C-17894,182799.4227568684
C-10903,24816.68419474823
C-39413,46864.21742208858
C-4926,28933.719358597078
C-29376,1383.9206972518089
C-7440,38447.67067829649
C-38279,40850.44483777269
C-43246,55963.58595626197
C-33701,0.0
C-1603,111277.5827177053
C-21756,1223.647218462241
C-20553,1033.418385057493
C-40318,713.7279372200442
C-23274,35216.805300720305
C-3521,2747.16528823079
C-19742,46315.49268750042
C-42176,2213.30044482839
C-33938,103301.61349383391
C-20363,95295.37238023174
C-1614,103432.72326122328
C-22568,2074.2699183524983
C-24796,37438.80745839953
C-25092,54583.5360165108
C-40256,32173.789855791616
C-27504,49243.11132480341
C-25753,74561.97633539373
C-27194,45864.22318920422
C-17798,4179.379824418292
C-11864,32963.8596726789
C-722,22408.020057300313
C-8111,135518.40635902493
C-25051,1108.8091838793064
C-42216,45062.50384973041
C-20767,1481.272803387792
C-22334,56763.29429068074
C-23551,45266.494295147175
C-48437,1599.80004643379
C-21452,54503.62547100944
C-16307,49889.947266289
C-29324,35667.365629968466
C-4513,1533.4419003749445
C-32774,22833.725975452675
C-15695,23999.462161478892
C-48811,105970.21847679498
C-24101,67001.83636038756
C-17567,35001.80682958416
C-3203,39289.18576647638
C-27870,64072.96568140682
C-34250,979.2004851398689
C-6052,43372.53592735397
C-33730,79179.35643079712
C-33735,51785.096279611906
C-41784,1641.8971854906338
C-36379,60706.56786936502
C-37051,52016.82434049274
C-45284,14701.28448723303
C-22611,24782.65476952942
C-15220,20026.11875833798
C-46916,22483.445910214974
C-16477,0.0
C-32921,69931.20339172539
C-10743,65367.56396245231
C-25717,13417.100290851207
C-38804,58246.759639756114
C-47665,89450.95273200358
C-47745,37755.05933656517
C-8340,109642.24615982726
C-35857,11393.916994694973
C-13835,61741.09330381621
C-8181,107481.08747877859
C-7606,17374.60379639356
C-28889,82755.0783071194
C-19884,23034.402808320418
C-26792,0.0
C-29963,64645.875858486295
C-23208,16293.962853987998
C-26232,116914.44098633551
C-38972,0.0
C-28626,86379.54965043293
C-3278,23121.262932176236
C-9079,26037.82034546973
C-18569,35581.67366160392
C-43756,4281.600330913824
C-17687,52080.55663267821
C-5824,86155.77787075638
C-6145,23944.69555690895
C-5160,26674.082546594414
C-13520,39417.96906799333
C-2648,24772.26631041441
C-9345,162422.71795801775
C-46369,192313.13995088194
C-34024,29016.354128101473
C-37594,27445.09221348877
C-16600,50437.071208535184
C-12689,85223.9103855132
C-31285,947.8843487278998
C-20977,69402.61180391736
C-8645,69991.02291627301
C-28949,64076.00314350868
C-42339,0.0
C-18516,77553.9823566835
C-26843,19546.10077065614
C-37352,54507.37508556825
C-9621,31289.470059372245
C-40583,37965.47186523993
C-44959,45089.324478871335
C-10087,70807.52476570176
C-31261,124247.38827603802
C-2632,46046.43136094727
C-35797,82723.36631787484
C-9943,27631.92512304479
C-48614,1833.8003873958507
C-38577,30545.659365304466
C-9012,16610.786265647464
C-22068,31667.801246088642
C-34390,11085.486963794065
C-17445,20960.74820409642
C-42960,23570.18461403326
C-29172,24868.56519087527
C-8067,17849.920509594886
C-19101,2148.936135178016
C-16365,141.2142585677985
C-46578,100653.49320353034
C-7726,46333.40320022947
C-11802,66195.11289154558
C-26157,1030.397625791266
C-12804,13332.101651337642
C-13829,27605.891012768618
C-16434,49397.459001163304
C-27426,112606.82484051616
C-40208,117426.07595333988
C-35800,27336.590684663985
C-14093,3689.498139071859
C-11648,131671.21538729925
C-44330,43340.33833570897
C-3517,59664.75368868697
C-21658,65765.55774250894
C-6711,27079.75918707269
C-16178,27139.359907698607
C-19315,44093.84492931364
C-12505,0.0
C-39404,65388.09126900676
C-23783,1174.6021436420356
C-40002,45028.02212557066
C-30526,23225.851419818642
C-8034,41340.63042477176
C-33801,111928.64367573998
C-44646,0.0
C-32172,21897.695734351742
C-15887,1239.9127525748104
C-391,1509.8009863594577
C-35271,146827.7028126785
C-45419,22071.516935285566
C-26170,106.43622555483249
C-41141,69120.15512019764
C-19608,23545.32089392721
C-12816,35006.40752547859
C-2852,1561.7376493874453
C-23982,44144.84582480608
C-27035,46304.808051045526
C-19243,33792.38978706734
C-33098,25408.390132131266
C-18918,65582.24650702243
C-38094,20209.237437439526
C-39100,59774.54257820118
C-10477,15544.119568929207
C-41693,6128.964287395478
C-25244,64730.465766735244
C-30176,145549.35165741513
C-43024,11847.97365811496
C-17663,32435.61320961044
C-18116,56942.18923329579
C-12113,67674.79714633322
C-47954,1877.0697139455908
C-5056,136095.16576593235
C-13678,0.0
C-11014,23882.66847436015
C-38944,12722.85486516386
C-6241,0.0
C-3386,11323.17041902287
C-44010,6388.1948351247875
C-38450,50245.697847405354
C-5233,44232.79000514914
C-29556,23214.462373687842
C-8420,106084.49082044764
C-15978,26801.444814731563
C-34580,23047.29219805386
C-31624,4598.108411521107
C-26269,23596.42649377427
C-22174,19536.077645952562
C-39257,85595.97105890025
C-461,10989.65130688651
C-19987,22488.40736764193
C-22313,71913.80599292596
C-36169,40137.195478643785
C-27644,27225.451232297222
C-2735,0.0
C-15015,27108.231167993777
C-37397,30892.230442140215
C-45699,2740.050739534469
C-20783,57139.95848373229
C-17847,16210.270996573974
C-38305,13113.626994019896
C-6907,0.0
C-7342,112066.40921935928
C-7045,1209.6589500586438
C-13221,71913.80599292596
C-34726,31083.345574479306
C-35426,64273.01218615405
C-43748,66195.11289154558
C-2888,24377.992369015425
C-32967,24486.539669074165
C-30265,98420.11317171613
C-13304,119141.84258839121
C-17380,54844.07417825456
C-1417,49627.65888051358
C-21679,44185.14102823045
C-31369,118224.75472121932
C-18618,1533.4419003749445
C-15173,32963.8596726789
C-25409,95443.00917924508
C-22695,88002.09960038372
C-7870,110828.42578470813
C-35059,114742.00824942961
C-19262,74289.03900559426
C-10179,1012.6206285453771
C-10978,0.0
C-45858,32905.50310915668
C-8194,23911.19319918908
C-9392,54871.04946717329
C-49795,1495.586900899486
C-23829,23801.906814290956
C-28834,11662.319430309726
C-45277,48102.15010363458
C-11440,15796.33177657983
C-10158,49294.90965835847
C-46131,260.06028497944374
C-27846,37609.41454951726
C-12099,32413.996667168583
C-7556,30520.36679170641
C-36717,65755.49716447682
C-6230,32973.94571335373
C-26450,77401.19384482222
C-42638,46518.09077962481
C-40852,76628.57782861733
C-48264,1932.1090955685183
C-25725,45157.16145524349
C-1251,21955.904573633772
C-38116,60525.822172330765
C-33330,52478.39469298926
C-28034,33453.37561646257
C-15275,46724.31706446313
C-18947,71123.36660488439
C-45711,27909.869648007945
C-39206,82398.91281882874
C-2536,16336.52050424131
C-45427,120805.33946747203
C-34637,1040.2554927634505
C-8357,14563.495923190892
C-15199,93804.19001318491
C-42345,50307.72492995415
C-15973,64749.5753406414
C-778,1432.9514430985737
C-18961,16276.207021096783
C-31944,68250.16398129323
C-49215,22427.27697906704
C-15736,20913.267232283793
C-39719,43772.05238059443
C-21669,96445.1455946334
C-12666,107358.12438833294
C-108,55893.4167344445
C-28294,45716.916447868374
C-931,52626.013812914935
C-46269,64195.93410719217
C-21864,50217.54077449941
C-40951,14467.979174602691
C-17344,44537.07516509784
C-30471,17322.656850167645
C-6151,4293.913264881029
C-49031,7947.605203662156
C-21146,0.0
C-9283,13783.211418261677
C-38375,11662.319430309726
C-37722,81013.18002246086
C-39145,85369.53302109815
C-7771,113505.90446125316
C-14611,56204.00081052041
C-3433,60953.170745055795
C-47000,195506.87057006668
C-38783,97043.70000200067
C-25384,48769.43858032305
C-27444,83228.20806250884
C-20567,59177.434189150015
C-19163,170577.65093676347
C-7784,27569.89804049599
C-42195,0.0
C-15641,56073.6746388673
C-45148,62827.524875624535
C-49786,74747.13788234003
C-43483,143449.60283865465
C-31900,32760.411058287034
C-7955,18984.845939546107
C-49917,0.0
C-20928,115834.62723763475
C-32586,98532.86133230495
C-8832,19449.28088166162
C-37974,39433.0159319254
C-11184,103021.68200559115
C-27932,17582.923409856
C-22581,61317.3118801353
C-17470,70977.937962562
C-35562,1400.4043702503407
C-21391,27721.50368199989
C-2036,66435.29117681166
C-487,23658.45357632307
C-49534,7148.294962863875
C-27793,101465.0798543096
C-47718,22627.928917572845
C-28840,0.0
C-36903,173059.7631414013
C-12478,21418.516358469264
C-5497,66874.614063207
C-19291,25074.3622487551
C-37414,0.0
C-27189,48841.90361173472
C-23974,670.135533622378
C-37756,873.9309428441195
C-6994,20909.82250764903
C-26676,13238.264778316747
C-18336,22191.612871696096
C-39249,49344.05429095156
C-46594,70721.39560780012
C-46668,46190.810047982915
C-31182,20430.83000438706
C-33649,1262.146308685261
C-795,26533.81343561581
C-41864,14772.062493831925
C-27099,162639.4298104994
C-13217,13801.829998155767
C-27941,33360.77186289782
C-26999,50307.72492995415
C-19798,56783.04220181314
C-872,12795.40880070476
C-42696,10872.745854682173
C-4207,45159.81900218811
C-5977,32846.52991689532
C-37417,80377.16789249514
C-27520,95372.16640437621
C-28968,47217.82281585659
C-7218,105904.73821570128
C-9926,132283.19409140403
C-6283,15371.208647343428
C-28564,186488.05850691206
C-7458,42779.2664806065
C-23936,65919.96371459374
C-15056,44429.37134873121
C-48332,0.0
C-5285,66542.45929348536
C-22261,14955.336948677936
C-6649,60528.63238168846
C-39775,78360.18011514733
C-16672,429.5068605565837
C-22949,38792.20624028114
C-33264,4857.458057801659
C-18411,22430.879043860237
C-2981,22872.5285585208
C-25486,29187.189000498078
C-20743,56652.794624495364
C-43852,100686.61119962881
C-33935,0.0
C-12280,213305.8727797479
C-7324,0.0
C-10229,46113.60824501082
C-29096,74163.83402188813
C-7146,50786.592829827896
C-48092,0.0
C-7802,11088.573770111716
C-41995,77341.26550911128
C-24558,1363.9567752330358
C-41069,57786.31100423953
C-49771,14363.153967526396
C-14429,29895.488293077487
C-36459,38943.29613866991
C-595,11160.152413807396
C-37861,23937.435078930088
C-5702,34799.78980870126
C-48665,13599.809349843463
C-44788,2690.109204750912
C-41968,5569.573522701955
C-28021,25096.043870704445
C-49046,148539.65649992242
C-48198,5628.809337940242
C-2224,38984.43462710151
C-29812,1264.7194422056828
C-28119,20275.705548866437
C-33458,24103.194965148316
C-31298,36299.353768064684
C-42213,885.9298689060912
C-45134,800.7655950271345
C-18790,46477.321665547555
C-8651,35269.35372992743
C-34551,97801.08743884567
C-46838,10941.812641473043
C-45834,13682.13772916438
C-23656,51508.07068595778
C-35479,54270.53802485631
C-9171,108073.26576514945
C-32795,127587.46675754055
C-39761,20534.35780609932
C-6842,26170.643191778385
C-1477,153263.84406752625
C-29391,10805.040945420247
C-36372,50229.28402350978
C-3050,0.0
C-24135,0.0
C-17657,104098.39302642578
C-22379,74508.83429154349
C-48251,55963.58595626197
C-47996,2154.7518501886348
C-46600,1518.3600648212616
C-24183,1273.0218166064212
C-39134,158628.66671898513
C-3569,66108.17853857229
C-44734,0.0
C-26917,39396.47113419093
C-43369,172021.95768183924
C-16973,71454.31269432283
C-10007,1993.6926893174302
C-45821,4251.432007699445
C-22286,32072.90766268363
C-26486,44967.68701306216
C-4785,89648.34828515547
C-41874,0.0
C-40217,175954.00095882433
C-21423,59766.71641645967
C-42449,3151.2855532038875
C-34243,89528.88022175428
C-3917,132682.77679131748
C-33066,78618.00961835311
C-2723,15459.4692645382
C-8412,81081.3591762314
C-9722,16306.656099528402
C-38320,38282.51595904344
C-29676,18659.70511966196
C-27298,44356.45750043097
C-31654,22182.18707971621
C-13695,16105.97926666066
C-25086,0.0
C-44465,0.0
C-21654,67488.49729003714
C-41060,88758.72279688531
C-49595,9531.9655201597
C-6280,94742.11672028404
C-14434,17691.324448026095
C-35331,37980.662872747205
C-22482,51596.13813702295
C-39569,44731.45456246901
C-7791,90686.68542177867
C-41802,133642.56049642307
C-39667,26907.17878407333
C-12376,51073.17171687495
C-40906,80741.94233559573
C-38890,19802.981981318215
C-37476,63652.93865118739
C-44946,3609.003671924548
C-44451,18186.18544047389
C-37113,153317.27969653337
C-29497,22712.150223419376
C-19756,1614.45636306057
C-10272,22001.54616655274
C-32834,117961.2868489102
C-23725,61505.002561127585
C-10753,1131.9746784094937
C-17104,1485.326886878573
C-19153,44671.3972705166
C-17340,18324.83519079283
C-43187,11476.170596269774
C-49532,0.0
C-9014,17073.183245424832
C-19519,60257.06089722135
C-46047,3027.270498729
C-32269,18184.682636288417
C-808,18124.15835792509
C-25924,35423.45366188416
C-39832,52265.81819200558
C-9670,63625.17834023296
C-44243,42427.29084960595
C-32273,9167.806175395066
C-38474,90001.26530752123
C-3098,120295.01442726646
C-1113,110453.88144466699
C-48460,46630.12979800318
C-14158,0.0
C-16411,134566.57242402624
C-26187,117253.00116392731
C-47185,51210.31146279762
C-5417,56218.40274436003
C-43392,11143.93271378763
C-13685,209536.71013699443
C-18903,32500.007084740002
C-44156,0.0
C-28524,14898.334360945639
C-5184,44334.65481835524
C-45033,49722.75754532923
C-45354,48407.52765430716
C-41123,33650.9309636505
C-14213,0.0
C-6888,40011.58699424945
C-14104,222.2518492173208
C-2495,25968.418062211043
C-17057,110759.02069971692
C-5005,51823.250585998874
C-41297,49966.36089224253
C-42963,0.0
C-23251,22145.31614188377
C-23970,16610.786265647464
C-40714,138010.48044900582
C-38859,87725.55606569775
C-7112,66882.3615237391
C-18928,38923.511537301514
C-29862,89961.09008706913
C-30212,41536.49841071688
C-15021,76263.15774099379
C-7476,44726.01252721417
C-41600,3255.154813248829
C-32173,39742.91928180938
C-38518,36512.114694999305
C-38801,61113.67161846244
C-1784,95143.3827485127
C-24927,122674.44421447298
C-39547,58497.64423903135
C-43215,51198.209638744425
C-23422,1885.3047377908438
C-37723,47991.408742123414
C-29178,90729.37682307593
C-19008,107156.27595059692
C-5849,66457.4778182443
C-6004,69792.14183624987
C-23104,22627.928917572845
C-24882,59946.34753580144
C-43468,10010.68514962789
C-35132,80826.10487492397
C-42580,46696.29182664968
C-11578,26055.912182785378
C-8678,16306.656099528402
C-19927,4671.328950678868
C-30508,31074.555671676393
C-44874,35708.39336069579
C-30186,1612.6124119763256
C-10760,14594.050396965995
C-26481,78529.83146578363
C-46111,3723.3223695148135
C-32145,104173.14452262326
C-32092,1525.0759563173117
C-5752,88911.2518954673
C-16382,76843.4978088231
C-28591,115184.54396002779
C-44846,4047.0674406082194
C-2932,49939.091898882085
C-36463,139686.91185909187
C-27695,43479.50090516314
C-40748,74165.98509792011
C-29783,119696.84765561229
C-49739,12371.571141412534
C-14812,60778.882947061895
C-17082,23410.134522639084
C-7455,98821.10776923367
C-19358,25349.388649332774
C-19549,35087.717250930014
C-2666,41196.86044944073
C-18984,66265.18986378638
C-13649,22001.54616655274
C-33798,16177.691613233294
C-10307,78794.57287268066
C-35501,416.33313320522046
C-8935,64348.19136540559
C-26153,18186.18544047389
C-4606,63742.29427857382
C-18360,1097.0182050502192
C-39333,30607.686447853263
C-12426,91854.28433389739
C-6408,71899.89848469498
C-28868,15036.48295359201
C-42593,1203.910263724118
C-31808,70994.28928686965
C-32004,50595.107759883555
C-32204,44951.332134588534
C-12801,94082.0859585051
C-25815,64541.40230521398
C-22768,54175.91268211836
C-32048,55811.34245548331
C-19658,20783.108759895826
C-26891,9440.239056911363
C-40188,0.0
C-25433,24930.59227342407
C-10378,72117.76581389547
C-31318,139592.45631445514
C-15344,0.0
C-22888,0.0
C-43034,0.0
C-19211,54535.47978717822
C-10432,3475.8411363939626
C-22014,14907.870117260145
C-18211,1562.992520492336
C-23968,991.6873999821947
C-48530,54656.91974154954
C-28054,0.0
C-2058,20213.556767939455
C-34942,96978.05504502814
C-530,51057.96902435196
C-38117,14363.153967526396
C-20913,26821.847828143527
C-47070,2529.940526594433
C-26019,35983.60478704826
C-28532,50401.20007514455
C-46716,58997.10249802267
C-39327,46105.90439790181
C-7240,31196.623999988034
C-37949,177380.6744577773
C-2195,147927.27926024728
C-3355,70772.73597480202
C-19733,56845.06928436194
C-34255,80073.51057221029
C-49287,1109.6493640737704
C-32256,96079.11156797521
C-22180,46238.74559471639
C-5193,43297.94966631912
C-38427,135879.029192175
C-44886,35073.330943772424
C-3791,39440.83606807158
C-32566,59652.81072432248
C-15243,57738.26848825175
C-5240,46784.24513942264
C-49218,57563.918033703056
C-25534,0.0
C-47239,3551.541321741039
C-8774,0.0
C-16520,133457.12921078774
C-20311,91140.51760776865
